RANK	NAME	STORAGE	VALUETYPE	KEYLEVEL	ORDERLEVEL	MISSINGSTRING	GROUPNAME	DESCRIPTION
0	GEOID	integer	nominal	1	0			
1	INHABITANTS_K	number	continuous	0	0			
2	INCOME_K	number	continuous	0	0			
3	A_VAR1	number	continuous	0	0			
4	A_VAR2	number	continuous	0	0			
5	A_VAR3	number	continuous	0	0			
6	A_VAR4	number	continuous	0	0			
7	A_VAR5	number	continuous	0	0			
8	A_VAR6	number	continuous	0	0			
9	A_VAR7	number	continuous	0	0			
10	A_VAR8	number	continuous	0	0			
11	A_VAR9	number	continuous	0	0			
12	A_VAR10	number	continuous	0	0			
13	A_VAR11	number	continuous	0	0			
14	A_VAR12	number	continuous	0	0			
15	A_VAR13	number	continuous	0	0			
16	A_VAR14	number	continuous	0	0			
17	A_VAR15	number	continuous	0	0			
18	A_VAR16	number	continuous	0	0			
19	A_VAR17	number	continuous	0	0			
20	A_VAR18	number	continuous	0	0			
